Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q127,DMG2301L,SOT-23_alt_silk,113.919,-195.2244,-90,top
Q128,DMG2302U,SOT-23_alt_silk,113.919,-199.1614,-90,top
Q129,DMG2301L,SOT-23_alt_silk,112.141,-187.3504,-90,top
Q130,DMG2302U,SOT-23_alt_silk,112.141,-191.2874,-90,top
Q131,DMG2301L,SOT-23_alt_silk,110.363,-179.4764,-90,top
Q132,DMG2302U,SOT-23_alt_silk,110.363,-183.4134,-90,top
Q133,DMG2301L,SOT-23_alt_silk,108.585,-195.2244,-90,top
Q134,DMG2302U,SOT-23_alt_silk,108.585,-199.1614,-90,top
Q135,DMG2301L,SOT-23_alt_silk,106.807,-187.3504,-90,top
Q136,DMG2302U,SOT-23_alt_silk,106.807,-191.2874,-90,top
Q137,DMG2301L,SOT-23_alt_silk,105.029,-179.4764,-90,top
Q138,DMG2302U,SOT-23_alt_silk,105.029,-183.4134,-90,top
Q139,DMG2301L,SOT-23_alt_silk,103.251,-195.2244,-90,top
Q140,DMG2302U,SOT-23_alt_silk,103.251,-199.1614,-90,top
Q141,DMG2301L,SOT-23_alt_silk,101.473,-187.3504,-90,top
Q142,DMG2302U,SOT-23_alt_silk,101.473,-191.2874,-90,top
Q143,DMG2301L,SOT-23_alt_silk,99.695,-179.4764,-90,top
Q144,DMG2302U,SOT-23_alt_silk,99.695,-183.4134,-90,top
RN1,680R,R_Array_Convex_4x0603,189.2553,-146.1516,90,top
RN2,470R,R_Array_Convex_4x0603,180.6701,-146.1516,90,top
RN3,680R,R_Array_Convex_4x0603,160.3247,-146.1516,90,top
RN4,470R,R_Array_Convex_4x0603,167.4621,-146.1516,90,top
RN5,680R,R_Array_Convex_4x0603,189.2554,-149.352,-90,top
U1,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,221.0562,-169.926,0,top
U2,74HC595,SOP-16_3.9x9.9mm_P1.27mm,221.4372,-159.131,0,top
U3,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,205.0542,-169.926,0,top
U4,74HC595,SOP-16_3.9x9.9mm_P1.27mm,205.4352,-159.131,0,top
U5,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,189.0522,-169.926,0,top
U6,74HC595,SOP-16_3.9x9.9mm_P1.27mm,189.4332,-159.131,0,top
U7,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,173.0502,-169.926,0,top
U8,74HC595,SOP-16_3.9x9.9mm_P1.27mm,173.4312,-159.131,0,top
U9,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,157.0482,-169.926,0,top
U10,74HC595,SOP-16_3.9x9.9mm_P1.27mm,157.4292,-159.131,0,top
U11,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,141.0462,-169.926,0,top
U12,74HC595,SOP-16_3.9x9.9mm_P1.27mm,141.4272,-159.131,0,top
U13,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,125.0442,-169.926,0,top
U14,74HC595,SOP-16_3.9x9.9mm_P1.27mm,125.4252,-159.131,0,top
U15,PY32F030K28U6TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,109.0422,-169.926,0,top
U16,74HC595,SOP-16_3.9x9.9mm_P1.27mm,109.4232,-159.131,0,top
U17,DS8242-50A3,SOT-89-3,173.8629,-148.4884,90,top
